line,air_key,class_token,internal_class,flags,class_source,class_source_kind,class_sha256,java_major,super_class,spawn_declared_here,flight_models,flight_model_property_class,flight_model_verification,cockpit_classes,cockpit_property_class,missing_cockpit_classes,player_classification,mesh_names,status,findings
13,BlenheimMkIF,air.BLENHEIM1F,com/maddox/il2/objects/air/BLENHEIM1F,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\70502CC06A3AF4C4,loose,143459B20B1C49531B1DB4A7E02950B554E5509E9F25D07332A965A661D3D841,47,com/maddox/il2/objects/air/BLENHEIM,True,FlightModels/Blenheim_MkI.fmd,com/maddox/il2/objects/air/BLENHEIM1F,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBLENHEIM4_TGunner | com/maddox/il2/objects/air/CockpitPE2_1,com/maddox/il2/objects/air/BLENHEIM1F,,player-capable-static,3DO/Plane/BlenheimMkIF/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
14,BlenheimMkIV,air.BLENHEIM4,com/maddox/il2/objects/air/BLENHEIM4,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\D8D61828CDC96140,loose,563CB1C2540AD98AAD649416F5FFFDA40D68B7241528D9E2D0F484325E9AD72D,47,com/maddox/il2/objects/air/BLENHEIM,True,FlightModels/Blenheim_MkIV.fmd,com/maddox/il2/objects/air/BLENHEIM4,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBLENHEIM4 | com/maddox/il2/objects/air/CockpitBLENHEIM4_Bombardier | com/maddox/il2/objects/air/CockpitBLENHEIM4_TGunner,com/maddox/il2/objects/air/BLENHEIM4,,player-capable-static,3DO/Plane/BlenheimMkIV(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
15,B-17D,air.B_17D,com/maddox/il2/objects/air/B_17D,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\65EF104EDA4567A2,loose,9BF864CD2668E5D8C27F83EBD87794177D71EB3259AD953D942D493EA88F65D9,47,com/maddox/il2/objects/air/B_17,True,FlightModels/B-17D.fmd,com/maddox/il2/objects/air/B_17D,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB17D | com/maddox/il2/objects/air/CockpitB17D_BGunner | com/maddox/il2/objects/air/CockpitB17D_Bombardier,com/maddox/il2/objects/air/B_17D,,player-capable-static,3DO/Plane/B-17D(Multi1)/hier.him | 3DO/Plane/B-17D(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
16,B-17E,air.B_17E,com/maddox/il2/objects/air/B_17E,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\9AC20BD00EA177F6,loose,E96EAA2E8ED474E3EBC058E3FBFDCBACD47CD4E58D2BD391E61FE9B20C75A899,47,com/maddox/il2/objects/air/B_17,True,FlightModels/B-17E.fmd,com/maddox/il2/objects/air/B_17E,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB17E | com/maddox/il2/objects/air/CockpitB17E_AGunner | com/maddox/il2/objects/air/CockpitB17E_BGunner | com/maddox/il2/objects/air/CockpitB17E_Bombardier | com/maddox/il2/objects/air/CockpitB17E_TGunner,com/maddox/il2/objects/air/B_17E,,player-capable-static,3DO/Plane/B-17E(Multi1)/hier.him | 3DO/Plane/B-17E(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
17,B-17F,air.B_17F,com/maddox/il2/objects/air/B_17F,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\B428F156CF51BBE4,loose,4F6CC158CD58A80458539A27FFA218F9A00D0A4CC1D85462CF22E75FAC744B21,47,com/maddox/il2/objects/air/B_17,True,FlightModels/B-17F.fmd,com/maddox/il2/objects/air/B_17F,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB17F | com/maddox/il2/objects/air/CockpitB17F_AGunner | com/maddox/il2/objects/air/CockpitB17F_BGunner | com/maddox/il2/objects/air/CockpitB17F_Bombardier | com/maddox/il2/objects/air/CockpitB17F_FGunner | com/maddox/il2/objects/air/CockpitB17F_TGunner,com/maddox/il2/objects/air/B_17F,,player-capable-static,3DO/Plane/B-17F(Multi1)/hier.him | 3DO/Plane/B-17F(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
18,B-17G,air.B_17G,com/maddox/il2/objects/air/B_17G,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\CC8329188EF08F50,loose,D26FAA63C5DFDCA90FE230271CF94D052D2F520259840590AA4710FC531F5ABE,47,com/maddox/il2/objects/air/B_17,True,FlightModels/B-17G.fmd,com/maddox/il2/objects/air/B_17G,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB17G | com/maddox/il2/objects/air/CockpitB17G_AGunner | com/maddox/il2/objects/air/CockpitB17G_BGunner | com/maddox/il2/objects/air/CockpitB17G_Bombardier | com/maddox/il2/objects/air/CockpitB17G_FGunner | com/maddox/il2/objects/air/CockpitB17G_LGunner | com/maddox/il2/objects/air/CockpitB17G_RGunner | com/maddox/il2/objects/air/CockpitB17G_TGunner,com/maddox/il2/objects/air/B_17G,,player-capable-static,3DO/Plane/B-17G(Multi1)/hier.him | 3DO/Plane/B-17G(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
19,P-26,air.P_26,com/maddox/il2/objects/air/P_26,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\E7BE4F021CDB54C0,loose,71B17D7CFA3B26F7BDA6E05FBF2E7B2C8E645FCCAF5E0EE42233D40E45B46A78,47,com/maddox/il2/objects/air/P_26x,True,FlightModels/Ki-27.fmd,com/maddox/il2/objects/air/P_26,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_26,com/maddox/il2/objects/air/P_26,,player-capable-static,3DO/Plane/P-26(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
20,B-29,air.B_29,com/maddox/il2/objects/air/B_29,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\CF5FECAC1A938874,loose,5287244DBAE57CFF7487EBD6BE8D902B7303AED1217B9B8C27E72E45B899E25F,47,com/maddox/il2/objects/air/B_29X,True,FlightModels/B-29.fmd,com/maddox/il2/objects/air/B_29,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB29 | com/maddox/il2/objects/air/CockpitB29_AGunner | com/maddox/il2/objects/air/CockpitB29_Bombardier | com/maddox/il2/objects/air/CockpitB29_FGunner | com/maddox/il2/objects/air/CockpitB29_RGunner | com/maddox/il2/objects/air/CockpitB29_T2Gunner | com/maddox/il2/objects/air/CockpitB29_TGunner,com/maddox/il2/objects/air/B_29,,player-capable-static,3DO/Plane/B-29(Multi1)/hier.him | 3DO/Plane/B-29(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
21,B-29-SP,air.B_29SP,com/maddox/il2/objects/air/B_29SP,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\7BCE3C02C280ED18,loose,0A83344F9617AECF9F2B0B50B06B265E7C41F2A733B226DA32656465AF994992,47,com/maddox/il2/objects/air/B_29X,True,FlightModels/B-29SP.fmd,com/maddox/il2/objects/air/B_29SP,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB29SP | com/maddox/il2/objects/air/CockpitB29SP_AGunner | com/maddox/il2/objects/air/CockpitB29SP_Bombardier,com/maddox/il2/objects/air/B_29SP,,player-capable-static,3DO/Plane/B-29-SP(Multi1)/hier.him | 3DO/Plane/B-29-SP(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
22,KB_29P,air.KB_29P,com/maddox/il2/objects/air/KB_29P,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\2083079EF880398E,loose,0E761121A10FD1B3224ED9B29E91895D2C0013C2F411BD08DBF50D2E0E24AB1F,47,com/maddox/il2/objects/air/KB_29,True,FlightModels/B-29.fmd,com/maddox/il2/objects/air/KB_29P,reference-only-buttons-not-extracted,,,,probable-ai-only,3DO/Plane/KB-29/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified | no usable cockpitClass declaration found; treat as AI-only until runtime proof
23,B-239,air.F2A_B239,com/maddox/il2/objects/air/F2A_B239,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\F2A_B239.class,selector-dump,B0C2D37F8CD5475B71B8714BD21C6B9E978614A1A12E59E0773D9E5DF6F89A6A,47,com/maddox/il2/objects/air/F2A,True,FlightModels/F2A-1.fmd,com/maddox/il2/objects/air/F2A_B239,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitF2A1,com/maddox/il2/objects/air/F2A_B239,,player-capable-static,3DO/Plane/B-239/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
24,BuffaloMkI,air.F2A_B339,com/maddox/il2/objects/air/F2A_B339,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\F2A_B339.class,selector-dump,AD39E7BFA0ADE2EB5EE12AC94EF3FBB579B601AB9EF81F9B4C46E00DC335464A,47,com/maddox/il2/objects/air/F2A,True,FlightModels/F2A-1.fmd,com/maddox/il2/objects/air/F2A_B339,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB339,com/maddox/il2/objects/air/F2A_B339,,player-capable-static,3DO/Plane/BuffaloMkI(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
25,F2A-2,air.F2A2,com/maddox/il2/objects/air/F2A2,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\F2A2.class,selector-dump,B4459119662CEC90BD3285543675A56741AFA44CB7D58E037CF89150D2E2B62A,47,com/maddox/il2/objects/air/F2A,True,FlightModels/F2A-2.fmd,com/maddox/il2/objects/air/F2A2,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitF2A2,com/maddox/il2/objects/air/F2A2,,player-capable-static,3DO/Plane/F2A-2(Multi1)/hier.him | 3DO/Plane/F2A-2(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
26,BeaufighterMk21,air.BEAU21,com/maddox/il2/objects/air/BEAU21,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\BEAU21.class,selector-dump,2642F6F7420FBEA144FFB8A430753DB97560E9D88509A9B749BCE38E62A9AE65,47,com/maddox/il2/objects/air/BEAU,True,FlightModels/BeaufighterMk21.fmd,com/maddox/il2/objects/air/BEAU21,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBEAU21,com/maddox/il2/objects/air/BEAU21,,player-capable-static,3DO/Plane/BeaufighterMk21(AU)/hier.him | 3DO/Plane/BeaufighterMk21(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
27,BeaufighterMkI,air.BEAUMKI,com/maddox/il2/objects/air/BEAUMKI,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\5fe6fa6cc5a338b6,loose,93FF129997BDB26609D7A2992CEA1C14C69AD9F0076281D73F8D03957AD0E73A,47,com/maddox/il2/objects/air/BEAU,True,FlightModels/BeaufighterMk1.fmd,com/maddox/il2/objects/air/BEAUMKI,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBEAU1Gun | com/maddox/il2/objects/air/CockpitBEAU21,com/maddox/il2/objects/air/BEAUMKI,,player-capable-static,3DO/Plane/BeaufighterMk1(GB)/hier.him | 3DO/Plane/BeaufighterMk1(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
28,BeaufighterMkX,air.BEAU10,com/maddox/il2/objects/air/BEAU10,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\F884576C6E9906F2,loose,98FA763AA17D48510FE384C9CCBB0148ECC929DAF9B89ED701643272155B5B81,47,com/maddox/il2/objects/air/BEAU,True,FlightModels/BeaufighterMkX.fmd,com/maddox/il2/objects/air/BEAU10,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBEAU10Gun | com/maddox/il2/objects/air/CockpitBEAU21,com/maddox/il2/objects/air/BEAU10,,player-capable-static,3DO/Plane/BeaufighterMk10(GB)/hier.him | 3DO/Plane/BeaufighterMk10(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
29,B-24J,air.B_24J,com/maddox/il2/objects/air/B_24J,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\FE4BF9649F786B78,loose,EBE60050E6FE80F2748704C3256F8DE7DAF1C09C2E4D56384959255A89988FF6,45,com/maddox/il2/objects/air/B_24,True,FlightModels/B-24J.fmd,com/maddox/il2/objects/air/B_24J,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB_24J | com/maddox/il2/objects/air/CockpitB_24J_AGunner | com/maddox/il2/objects/air/CockpitB_24J_BGunner | com/maddox/il2/objects/air/CockpitB_24J_Bombardier | com/maddox/il2/objects/air/CockpitB_24J_FGunner | com/maddox/il2/objects/air/CockpitB_24J_LGunner | com/maddox/il2/objects/air/CockpitB_24J_RGunner | com/maddox/il2/objects/air/CockpitB_24J_TGunner,com/maddox/il2/objects/air/B_24J,,player-capable-static,3DO/Plane/B-24J(Multi1)/hier.him | 3DO/Plane/B-24J(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
30,B-24J-100-CF,air.B_24J100,com/maddox/il2/objects/air/B_24J100,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\421B1C7CC1650FB6,loose,14D532C68DB7B51C7308EFFA5123EAD1B3E90D665A192F2FC42D95F6A4128D58,47,com/maddox/il2/objects/air/B_24,True,FlightModels/B-24J.fmd,com/maddox/il2/objects/air/B_24J100,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitB_24J100 | com/maddox/il2/objects/air/CockpitB_24J100_AGunner | com/maddox/il2/objects/air/CockpitB_24J100_BGunner | com/maddox/il2/objects/air/CockpitB_24J100_Bombardier | com/maddox/il2/objects/air/CockpitB_24J100_FGunner | com/maddox/il2/objects/air/CockpitB_24J100_TGunner,com/maddox/il2/objects/air/B_24J100,,player-capable-static,3DO/Plane/B-24J-100-CF(Multi1)/hier.him | 3DO/Plane/B-24J-100-CF(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
31,PBN-1,air.PBN1,com/maddox/il2/objects/air/PBN1,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\BE812CBA7DD10372,loose,E788B2210F55F020FE87D4D9F4524F05D23C8977BBF28B9EBF85CC43022CBE88,47,com/maddox/il2/objects/air/PBYX,True,FlightModels/PBN-1.fmd,com/maddox/il2/objects/air/PBN1,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitPBN1 | com/maddox/il2/objects/air/CockpitPBN1_Bombardier | com/maddox/il2/objects/air/CockpitPBN1_LGunner | com/maddox/il2/objects/air/CockpitPBN1_NGunner | com/maddox/il2/objects/air/CockpitPBN1_RGunner,com/maddox/il2/objects/air/PBN1,,player-capable-static,3DO/Plane/PBN-1/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
32,PBY-5,air.PBY,com/maddox/il2/objects/air/PBY,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\38023FCA879ACE00,loose,F865079194D41C3B472785DEDEECF366B15C0DAD499AB5CE03742E5010687E74,46,com/maddox/il2/objects/air/PBYX,True,FlightModels/PBY.fmd,com/maddox/il2/objects/air/PBY,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitPBY | com/maddox/il2/objects/air/CockpitPBY_Bombardier | com/maddox/il2/objects/air/CockpitPBY_LGunner | com/maddox/il2/objects/air/CockpitPBY_RGunner | com/maddox/il2/objects/air/CockpitPBY_TGunner,com/maddox/il2/objects/air/PBY,,player-capable-static,3DO/Plane/PBY/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
33,CW-21,air.CW_21,com/maddox/il2/objects/air/CW_21,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\CW_21.class,selector-dump,AB31568D9645B8F665B24262162920B3B01FD8057A024DF9A0230513D9210C65,47,com/maddox/il2/objects/air/CW21xyz,True,FlightModels/CW-21.fmd,com/maddox/il2/objects/air/CW_21,reference-only-buttons-not-extracted,,,,probable-ai-only,3DO/Plane/CW-21(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified | no usable cockpitClass declaration found; treat as AI-only until runtime proof
34,H_75A2,air.H75_A2,com/maddox/il2/objects/air/H75_A2,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\CE753228EA961F02,loose,2620EB6507920CADC8B83819F5E57FF96B4B43F7482101D5848CA53627B3E19A,46,com/maddox/il2/objects/air/P_36,True,FlightModels/H75A2.fmd,com/maddox/il2/objects/air/H75_A2,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_40B,com/maddox/il2/objects/air/H75_A2,,player-capable-static,3DO/Plane/H75A2/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
35,H75MO4,air.H75MOIV,com/maddox/il2/objects/air/H75MOIV,NOINFO,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\EFED696673C0DE72,loose,A7FACB23386F5135E5FCAB7404ED6871A5C632FCB3568E3C730281E513A8CBEB,46,com/maddox/il2/objects/air/P_36,True,FlightModels/H75MO4.fmd,com/maddox/il2/objects/air/H75MOIV,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_40B,com/maddox/il2/objects/air/H75MOIV,,player-capable-static,3DO/Plane/H75MO/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
36,P-36A-3,air.P_36A3,com/maddox/il2/objects/air/P_36A3,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\EA5DCB665CBB9E20,loose,EEE740B9059370B088DC15B513837F0605E0C11930715AB8BA875DCB041BF8FB,47,com/maddox/il2/objects/air/P_36,True,FlightModels/P-36A-3.fmd,com/maddox/il2/objects/air/P_36A3,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_40B,com/maddox/il2/objects/air/P_36A3,,player-capable-static,3DO/Plane/Hawk75A-3(Multi1)/hier.him | 3DO/Plane/Hawk75A-3(USA)/hier.him | 3DO/Plane/Hawk75A-3(fr)/hier.him | 3DO/Plane/Hawk75A-3(vi)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
