3    Stefanescu,Sabin
3    Ilie,Claudiu
3    Nicolau,Alin
3    Luca,Alexandru
3    Halip,Florin
3    Toma,Andrei
3    Nitu,Florentin
3    Lepirda,Claudiu
3    Serban,Alexandru
3    Iosub,Stelian
3    Vasile,Ionel
3    Gradila,Bogdan
3    Romanescu,Ciprian
3    Teodorescu,Ion
3    Aron,Gabriel
3    Manea,Georgian
3    Petre,Ionut
3    Stoica,Adrian
3    Tudor,Costin
3    Ursache,Marinel
3    Grosu,Albert
3    Roventa,Liviu
3    Creanga,George
3    Butnariu,Gabriel
3    Radu,Alexandru
3    Stefan,Simion
3    Zaharia,Lucian
3    Popa,Andrei
3    Dumitru,Mihai
3    Matei,Adrian
3    Vlad,Florin
3    Viulet,Robert
3    Suler,Petru
3    Igescu,Alexandru
3    Mazilescu,Emanuel
3    Mustata,Razvan
3    Constantin,Mihail
4    Oancea,Florentin
4    Alexandru,Ioan
4    Petrica,Ioan
4    Calin,Alexandru
4    Zaharia,Iulian
4    Zaharia,Stefan
4    Ilie,Marian
4    Ilie,Dorin
4    Dita,George
4    Ionescu,Marian
4    Craciunoiu,Daniel
4    Dumitru,Marian
4    Kovalciuc,Stefan
4    Arambasa,Sorin
4    Marin,George
4    Dragomir,Alexandru
4    Aide,Viorel
4    Baicu,Andrei
4    Ionita,Petre
4    Ionita,Mihail
4    Constantinescu,Viorel
4    Cristache,Crin
4    Trandafir,Mihai
4    Popa,Cristian
4    Micloi,Catalin
4    Martinovici,Marian
4    Piron,George
4    Pana,Georgian
4    Gheorghe,Ioan
4    Teisan,Daniel
4    Murgoci,Alexandru
4    Amarie,Andrei
4    Bosnigeanu,Mihai
4    Stan,Ilie
4    Ivan,Francisc
4    Alexandru,Paul
4    Ghita,Bogdan
4    Ghita,Radu
4    Pitica,Gabriel
4    Ciobanu,Petrut
4    Mares,Aurel
4    Ciolan,Gabriel
4    Neculai,Stefan
4    Badea,Cristian
4    Ene,Andrei
4    Dumitrescu,Marian
4    Stanciu,Bogdan
4    Stanciu,Gabriel
4    Dinu,Daniel
4    Cernatescu,Laurentiu
4    Ghiulea,Ion
4    Ghiulea,Gabriel
4    Gheorghe,Florian
4    Genosu,Marian
5    Croitoru,Andrei
5    Scarlat,Adrian
5    Avrigeanu,Vasile
5    Stoica,Florentin
5    Onutu,Cristian
5    Jalia,Gabriel
5    Ganta,Marian
5    Ganta,Serban
5    Paraschiv,Alexandru
5    Ducu,Daniel
5    Ducu,Florin
5    Macovei,Iulian
5    Iremciuc,Razvan
5    Marinete,Daniel
5    Smarandoiu,Ciprian-Alexandru
5    Mititelu,Daniel
5    Popescu,Stefan
5    Brumaras,Costin
5    Dendea,Adrian
5    Aldia,Madalin
5    Popescu,Ionel
5    Bercaru,Alin
5    Ghita,Denis
5    Constantinescu,Simion
5    Topala,Marius
5    Popescu,Florian
5    Gheorghita,Victor
5    Samson,Robert
5    Dragan,Aurel
5    Ghioca,Costel
5    Vlasceanu,Alin
5    Cazan,Ciprian
5    Ungureanu,Alin
5    Ungureanu,Tudor
5    Stefanescu,Ioan
5    Batani,Valentin
5    Filip,Constantin
5    Albu,Marian
5    Palade,Ion
6    Marcus,Petrut
6    Perjoiu,Alexandru
6    Stegaru,Cosmin
6    Iordache,Florentin
6    Ariciu,Jenica
6    Mitran,Ionel
6    Balcuta,Ilie
6    Neagu,Manea
6    Zuican,Andrei
6    Pabat-Stroe,Stefan
6    Marinescu,Razvan
6    Lazar,Cristian
6    Pompieru,Nicolai
6    Zamfir,Marian
6    Paraschiv,Cristian
6    Coanda,Ion-Vlad
6    Tarasneaga,Romeo
6    Tapusi,Tiberiu
6    Persinaru,Cristian
6    Oncescu,George
6    Nastasa,Cezar
6    Constantin,Sorin
6    Voicu,Cosmin
6    Stancu,Gabriel
6    Dumitru,Claudiu
6    Buciu,Cornel
6    Adam,Cristian
6    Ion,Adrian
6    Ciobanu,Alin
6    Marin,Florentin
6    Iordache,Marian
6    Fuiorea,Bogdan
7    Mititelu,Bogdan-Gabriel
7    Matache,Nicolai
7    Constantin,Marian
7    Mitroi,Mircea
7    Soare,Florin
7    Enciu,George
7    Tufeanu-Livintz,Alexandru
7    Fotache,Nicolai
7    Dumitru,Cristian
7    Comanescu,Roberto
7    Ecserescu,Bogdan
7    Carp,Daniel
7    Stoica,Iulian
7    Bratu,Alexandru
7    Neacsu,George-Dorel
7    Dumitru,Cristinel
7    Vladescu,Nicolae
7    Lazar,Silviu
7    Ionita,Marian
7    Iliuta,Stefan
7    Holbe,Mihai
7    Vaduva,Pavel
7    Costica,Robert
7    Dumitru,Florian
7    Spoiala,Alexandru
7    Toma,Adrian
7    Nastase,Claudiu
7    Druja,Florentin
7    Sava,Mihai
7    Jianu,Claudiu
7    Ciobanu,Aurel
7    Pena,Andrei
7    Gheorghe,Laurentiu
7    Nastasoiu,Cosmin
7    Dumitrescu,Ionut
7    Gheorghe,Alexandru-Marian
7    Matei,Claudiu
7    Cazan,Gabriel
7    Vlasceanu,Constantin
7    Vlasceanu,Dragos-Ionut
7    Onica,Adrian
7    Tanasie,Ionut
7    Vlasceanu,Ioan
7    Vasile,Catalin
8    Barta,Cristian
8    Ionita,Daniel
8    Enachescu,Andrei
8    Desaga,Ovidiu
8    Niculescu,Gabriel
8    Ghitiu,Cornel
8    Panaete,Razvan
8    Sava,Catalin
8    Tataru,Alexandru
8    Petrescu,Andrei
8    Ionescu,Florian
8    Nistor,Marius
8    Nedelcu,Ciprian-Ionut
8    Sirbu,Rudolf
8    Balanescu,Razvan
8    Chiriac,Ovidiu
8    Paltin,Cristian
8    Obreja,Andrei
8    Vlasceanu,Madalin
8    Voinea,Stefan
8    Zidaru,Florin
8    Constandin,Mihai
8    Beldea,Florentin
8    Ureche,Valentin
8    Iordan,Georgian
8    Popescu,Alexandru
8    Alexandru,Tudor
8    Pirvulescu,Lucian
8    Berbece,Radu
8    Holdea,Florentin
8    Sava,Ionut
8    Macovei,Relu
8    Trifan,Stefan
8    Minea,Iulian
8    Rovila,Marian
8    Popa,Constantin
8    Marinescu,Marian
8    Iancu,Mihai
8    Chiciorea,Daniel
8    Luca,Gabriel
8    Benezi,Gabriel
9    Pasol,Lucian
9    Petre,Georgian
9    Manolache,Alin
9    Petre,Mihai
9    Grigore,Cristian
9    Marcu,Florin
9    Cobzaru,Marius
9    Ghita,Robert
9    Bogdanescu,Costin
9    Capanu,Paul
9    Matei,Irinel
9    Dumitru,Bogdan
9    Moraru,Stefan
9    Ferariu,Mirel
9    Balasa,Adrian
9    Moroianu,Nicolae
9    Tataru,Eugen
9    Alexe,Mihai
9    Pruna,Petre
9    Chitibia,Razvan
9    Anton,Daniel
9    Raducan,Vadim
9    Costache,Marian
9    Marinescu,Cristian
9    Gogorita,Constantin
9    Boiteanu,Cosmin
9    Panaete,Silviu
9    Ispas,Dorel
9    Tudorache,Andrei
9    Robu,Alexandru
9    Mihalache,Mihai
9    Baciu,Vadim
9    Teodorescu,Ionut-Madalin
9    Sechel,Alexandru
9    Tudoran,Vasile
9    Bonciu,Mihai
9    Calin,Alexandru-Gabriel
9    Botescu,Cristian
9    Dinu,Marian
9    Matache,Marius
9    Paris,Victor-Mihail
9    Stancu,Iulian-Robert
9    Mihai,Marian-Gabriel
9    Bucur,Adrian
9    Avram,Valeriu
9    Ganea,Stefan
9    Linte,Alexandru
